3501,35,KABUPATEN PACITAN
3502,35,KABUPATEN PONOROGO
3503,35,KABUPATEN TRENGGALEK
3504,35,KABUPATEN TULUNGAGUNG
3505,35,KABUPATEN BLITAR
3506,35,KABUPATEN KEDIRI
3507,35,KABUPATEN MALANG
3508,35,KABUPATEN LUMAJANG
3509,35,KABUPATEN JEMBER
3510,35,KABUPATEN BANYUWANGI
3511,35,KABUPATEN BONDOWOSO
3512,35,KABUPATEN SITUBONDO
3513,35,KABUPATEN PROBOLINGGO
3514,35,KABUPATEN PASURUAN
3515,35,KABUPATEN SIDOARJO
3516,35,KABUPATEN MOJOKERTO
3517,35,KABUPATEN JOMBANG
3518,35,KABUPATEN NGANJUK
3519,35,KABUPATEN MADIUN
3520,35,KABUPATEN MAGETAN
3521,35,KABUPATEN NGAWI
3522,35,KABUPATEN BOJONEGORO
3523,35,KABUPATEN TUBAN
3524,35,KABUPATEN LAMONGAN
3525,35,KABUPATEN GRESIK
3526,35,KABUPATEN BANGKALAN
3527,35,KABUPATEN SAMPANG
3528,35,KABUPATEN PAMEKASAN
3529,35,KABUPATEN SUMENEP
3571,35,KOTA KEDIRI
3572,35,KOTA BLITAR
3573,35,KOTA MALANG
3574,35,KOTA PROBOLINGGO
3575,35,KOTA PASURUAN
3576,35,KOTA MOJOKERTO
3577,35,KOTA MADIUN
3578,35,KOTA SURABAYA
3579,35,KOTA BATU
