7202010,7202,TOILI
7202011,7202,TOILI BARAT
7202012,7202,MOILONG
7202020,7202,BATUI
7202021,7202,BATUI SELATAN
7202030,7202,BUNTA
7202031,7202,NUHON
7202032,7202,SIMPANG RAYA
7202040,7202,KINTOM
7202050,7202,LUWUK
7202051,7202,LUWUK TIMUR
7202052,7202,LUWUK UTARA
7202053,7202,LUWUK SELATAN
7202054,7202,NAMBO
7202060,7202,PAGIMANA
7202061,7202,BUALEMO
7202062,7202,LOBU
7202070,7202,LAMALA
7202071,7202,MASAMA
7202072,7202,MANTOH
7202080,7202,BALANTAK
7202081,7202,BALANTAK SELATAN
7202082,7202,BALANTAK UTARA
